    1.699  58.54764  20.00000   0.00181   1.54253   0.02155  1.70765027322404E+0001
    3.135  36.59105  40.00000   0.02778   2.70897   0.08436  2.73224043715847E+0001
    4.259  27.85301  60.00000   0.08901   3.65617   0.17221  3.58808754933620E+0001
    5.157  22.99204  80.00000   0.17823   4.46125   0.27673  4.34593654932638E+0001
    5.896  19.84982 100.00000   0.28757   5.16609   0.39322  5.03524672708963E+0001
    6.526  17.62932 120.00000   0.41041   5.79791   0.51851  5.66893424036281E+0001
    7.072  15.96587 140.00000   0.54287   6.37393   0.65054  6.25978090766823E+0001
    7.562  14.66901 160.00000   0.68085   6.90454   0.78809  6.80966973101805E+0001
    7.996  13.62130 180.00000   0.82446   7.40213   0.92958  7.33406674000733E+0001
    8.415  12.77542 200.00000   0.96744   7.85024   1.07751  7.81555295037124E+0001
    8.789  12.05546 220.00000   1.11428   8.28202   1.22722  8.28157349896480E+0001
    9.118  11.43419 240.00000   1.26500   8.70008   1.37839  8.73743993010048E+0001
    9.452  10.91132 260.00000   1.41247   9.07627   1.53519  9.15750915750916E+0001
    9.782  10.45007 280.00000   1.55800   9.44062   1.69329  9.55109837631328E+0001
   10.059  10.03372 300.00000   1.70865   9.80550   1.85093  9.95024875621891E+0001
   10.319   9.66429 320.00000   1.85928  10.15366   2.01066  1.03359173126615E+0002
   10.609   9.34712 340.00000   2.00351  10.45860   2.17641  1.06837606837606E+0002
   10.854   9.04415 360.00000   2.15152  10.78936   2.33808  1.10375275938189E+0002
   11.096   8.77902 380.00000   2.29796  11.08486   2.50464  1.13765642775881E+0002
   11.343   8.53168 400.00000   2.44134  11.38439   2.67037  1.16959064327485E+0002
   11.570   8.31287 420.00000   2.58537  11.65231   2.84050  1.20120120120120E+0002
   11.782   8.10395 440.00000   2.72933  11.93316   3.00851  1.23228589032655E+0002
   11.984   7.90209 460.00000   2.87246  12.23405   3.17335  1.26262626262626E+0002
   12.228   7.73463 480.00000   3.00811  12.46196   3.34876  1.28949065119278E+0002
   12.430   7.56966 500.00000   3.14719  12.71427   3.52038  1.31752305665349E+0002
   12.590   7.40529 520.00000   3.28967  12.99839   3.68714  1.34680134680135E+0002
   12.812   7.26987 540.00000   3.42230  13.20604   3.86501  1.37174211248285E+0002
   12.946   7.13201 560.00000   3.56419  13.45015   4.03734  1.40056022408964E+0002
   13.153   7.00596 580.00000   3.69487  13.67521   4.21233  1.42450142450142E+0002
   13.273   6.87497 600.00000   3.83469  13.94673   4.38033  1.45243282498184E+0002
   13.477   6.76867 620.00000   3.96205  14.13579   4.56036  1.47492625368732E+0002
   13.654   6.65598 640.00000   4.09088  14.37621   4.73268  1.49812734082397E+0002
   13.805   6.55132 660.00000   4.22115  14.60218   4.90701  1.52207001522070E+0002
   13.930   6.45401 680.00000   4.35280  14.81358   5.08337  1.54679040989946E+0002
   14.096   6.36350 700.00000   4.47774  15.01030   5.26178  1.56862745098039E+0002
   14.308   6.27910 720.00000   4.59543  15.19221   5.44227  1.58730158730159E+0002
   14.431   6.20069 740.00000   4.72211  15.35921   5.62485  1.61030595813205E+0002
   14.604   6.11251 760.00000   4.84115  15.59810   5.79674  1.62999185004075E+0002
   14.684   6.02981 780.00000   4.96937  15.82723   5.96996  1.65425971877585E+0002
   14.894   5.96640 800.00000   5.08088  15.95436   6.15814  1.67084377610693E+0002
   15.012   5.89251 820.00000   5.20148  16.16115   6.33448  1.69204737732656E+0002
   15.111   5.82268 840.00000   5.32251  16.35800   6.51219  1.71379605826907E+0002
   15.274   5.75664 860.00000   5.43486  16.54485   6.69130  1.73160173160173E+0002
   15.421   5.69413 880.00000   5.54734  16.72166   6.87181  1.74978127734033E+0002
   15.555   5.63520 900.00000   5.65994  16.88836   7.05373  1.76834659593280E+0002
   15.673   5.57954 920.00000   5.77262  17.04491   7.23707  1.78731009830206E+0002
   15.689   5.51152 940.00000   5.89469  17.30233   7.40547  1.81159420289855E+0002
   15.868   5.46181 960.00000   5.99808  17.44118   7.59128  1.82648401826484E+0002
   16.035   5.41457 980.00000   6.10126  17.56974   7.77854  1.84162062615101E+0002
   16.099   5.35486 1000.00000   6.21384  17.80719   7.94968  1.86219739292365E+0002
   16.243   5.31254 1020.00000   6.31671  17.91782   8.13946  1.87793427230047E+0002
   16.280   5.25726 1040.00000   6.42895  18.14268   8.31231  1.89933523266857E+0002
   16.500   5.21973 1060.00000   6.52173  18.23523   8.50463  1.91021967526266E+0002
   16.612   5.16872 1080.00000   6.62386  18.44742   8.67925  1.92678227360308E+0002
   16.715   5.13502 1100.00000   6.72570  18.52174   8.87412  1.94363459669582E+0002
   16.806   5.08817 1120.00000   6.82723  18.72117   9.05052  1.96078431372549E+0002
   16.888   5.04303 1140.00000   6.92841  18.91551   9.22760  1.97823936696340E+0002
   16.959   4.99952 1160.00000   7.02921  19.10475   9.40537  1.99600798403194E+0002
   17.128   4.97247 1180.00000   7.11987  19.14512   9.60504  2.00803212851406E+0002
   17.289   4.93249 1200.00000   7.21005  19.32143   9.78464  2.02020202020202E+0002
   17.333   4.89368 1220.00000   7.30971  19.49259   9.96493  2.03873598369011E+0002
   17.479   4.85630 1240.00000   7.39905  19.65859  10.14594  2.05128205128205E+0002
   17.506   4.82024 1260.00000   7.49779  19.81941  10.32766  2.07039337474120E+0002
   17.636   4.78570 1280.00000   7.58626  19.97505  10.51010  2.08333333333333E+0002
   17.760   4.75220 1300.00000   7.67423  20.12548  10.69327  2.09643605870021E+0002
   17.877   4.71985 1320.00000   7.76172  20.27070  10.87716  2.10970464135021E+0002
   17.988   4.68869 1340.00000   7.84873  20.41069  11.06177  2.12314225053079E+0002
   18.092   4.65872 1360.00000   7.93524  20.54544  11.24712  2.13675213675214E+0002
