  -0.0004  -0.0005  -0.0007  -0.0008  -0.0010  -0.0012  -0.0014  -0.0017  -0.0019  -0.0022  -0.0026  -0.0029  -0.0033  -0.0037  -0.0041  -0.0045  -0.0049  -0.0053  -0.0056  -0.0060  -0.0063  -0.0065  -0.0067  -0.0069  -0.0070  -0.0070  -0.0070  -0.0069  -0.0067  -0.0065  -0.0063  -0.0060  -0.0056  -0.0053  -0.0049  -0.0045  -0.0041  -0.0037  -0.0033  -0.0029  -0.0026  -0.0022  -0.0019  -0.0017  -0.0014  -0.0012  -0.0010  -0.0008  -0.0007  -0.0005  -0.0004  -0.0003
  -0.0005  -0.0007  -0.0008  -0.0010  -0.0012  -0.0015  -0.0018  -0.0021  -0.0024  -0.0028  -0.0032  -0.0037  -0.0042  -0.0046  -0.0051  -0.0056  -0.0061  -0.0066  -0.0071  -0.0075  -0.0079  -0.0082  -0.0085  -0.0086  -0.0088  -0.0088  -0.0088  -0.0086  -0.0085  -0.0082  -0.0079  -0.0075  -0.0071  -0.0066  -0.0061  -0.0056  -0.0051  -0.0046  -0.0042  -0.0037  -0.0032  -0.0028  -0.0024  -0.0021  -0.0018  -0.0015  -0.0012  -0.0010  -0.0008  -0.0007  -0.0005  -0.0004
  -0.0007  -0.0008  -0.0010  -0.0013  -0.0015  -0.0018  -0.0022  -0.0026  -0.0030  -0.0035  -0.0040  -0.0046  -0.0052  -0.0058  -0.0064  -0.0070  -0.0076  -0.0082  -0.0088  -0.0093  -0.0098  -0.0102  -0.0105  -0.0107  -0.0109  -0.0109  -0.0109  -0.0107  -0.0105  -0.0102  -0.0098  -0.0093  -0.0088  -0.0082  -0.0076  -0.0070  -0.0064  -0.0058  -0.0052  -0.0046  -0.0040  -0.0035  -0.0030  -0.0026  -0.0022  -0.0018  -0.0015  -0.0013  -0.0010  -0.0008  -0.0007  -0.0005
  -0.0008  -0.0010  -0.0013  -0.0016  -0.0019  -0.0023  -0.0027  -0.0032  -0.0037  -0.0043  -0.0050  -0.0056  -0.0064  -0.0071  -0.0079  -0.0086  -0.0094  -0.0101  -0.0108  -0.0115  -0.0121  -0.0126  -0.0129  -0.0132  -0.0134  -0.0135  -0.0134  -0.0132  -0.0129  -0.0126  -0.0121  -0.0115  -0.0108  -0.0101  -0.0094  -0.0086  -0.0079  -0.0071  -0.0064  -0.0056  -0.0050  -0.0043  -0.0037  -0.0032  -0.0027  -0.0023  -0.0019  -0.0016  -0.0013  -0.0010  -0.0008  -0.0007
  -0.0010  -0.0013  -0.0016  -0.0019  -0.0023  -0.0028  -0.0033  -0.0039  -0.0046  -0.0053  -0.0061  -0.0069  -0.0078  -0.0087  -0.0096  -0.0106  -0.0115  -0.0124  -0.0132  -0.0140  -0.0147  -0.0153  -0.0158  -0.0162  -0.0164  -0.0165  -0.0164  -0.0162  -0.0158  -0.0153  -0.0147  -0.0140  -0.0132  -0.0124  -0.0115  -0.0106  -0.0096  -0.0087  -0.0078  -0.0069  -0.0061  -0.0053  -0.0046  -0.0039  -0.0033  -0.0028  -0.0023  -0.0019  -0.0016  -0.0013  -0.0010  -0.0008
  -0.0012  -0.0015  -0.0019  -0.0023  -0.0028  -0.0034  -0.0040  -0.0047  -0.0055  -0.0064  -0.0073  -0.0083  -0.0094  -0.0105  -0.0116  -0.0128  -0.0139  -0.0150  -0.0160  -0.0170  -0.0178  -0.0186  -0.0191  -0.0196  -0.0198  -0.0199  -0.0198  -0.0196  -0.0191  -0.0186  -0.0178  -0.0170  -0.0160  -0.0150  -0.0139  -0.0128  -0.0116  -0.0105  -0.0094  -0.0083  -0.0073  -0.0064  -0.0055  -0.0047  -0.0040  -0.0034  -0.0028  -0.0023  -0.0019  -0.0015  -0.0012  -0.0010
  -0.0015  -0.0018  -0.0023  -0.0028  -0.0034  -0.0040  -0.0048  -0.0057  -0.0066  -0.0077  -0.0088  -0.0100  -0.0113  -0.0126  -0.0140  -0.0153  -0.0167  -0.0180  -0.0192  -0.0204  -0.0214  -0.0223  -0.0230  -0.0235  -0.0238  -0.0239  -0.0238  -0.0235  -0.0230  -0.0223  -0.0214  -0.0204  -0.0192  -0.0180  -0.0167  -0.0153  -0.0140  -0.0126  -0.0113  -0.0100  -0.0088  -0.0077  -0.0066  -0.0057  -0.0048  -0.0040  -0.0034  -0.0028  -0.0023  -0.0018  -0.0015  -0.0012
  -0.0018  -0.0022  -0.0027  -0.0033  -0.0040  -0.0048  -0.0057  -0.0067  -0.0079  -0.0091  -0.0105  -0.0119  -0.0134  -0.0150  -0.0166  -0.0182  -0.0198  -0.0214  -0.0229  -0.0242  -0.0254  -0.0265  -0.0273  -0.0279  -0.0283  -0.0284  -0.0283  -0.0279  -0.0273  -0.0265  -0.0254  -0.0242  -0.0229  -0.0214  -0.0198  -0.0182  -0.0166  -0.0150  -0.0134  -0.0119  -0.0105  -0.0091  -0.0079  -0.0067  -0.0057  -0.0048  -0.0040  -0.0033  -0.0027  -0.0022  -0.0018  -0.0014
  -0.0021  -0.0026  -0.0032  -0.0039  -0.0047  -0.0057  -0.0067  -0.0079  -0.0093  -0.0107  -0.0123  -0.0140  -0.0158  -0.0177  -0.0196  -0.0215  -0.0234  -0.0252  -0.0270  -0.0286  -0.0300  -0.0312  -0.0322  -0.0329  -0.0334  -0.0335  -0.0334  -0.0329  -0.0322  -0.0312  -0.0300  -0.0286  -0.0270  -0.0252  -0.0234  -0.0215  -0.0196  -0.0177  -0.0158  -0.0140  -0.0123  -0.0107  -0.0093  -0.0079  -0.0067  -0.0057  -0.0047  -0.0039  -0.0032  -0.0026  -0.0021  -0.0017
  -0.0024  -0.0030  -0.0037  -0.0046  -0.0055  -0.0066  -0.0079  -0.0093  -0.0108  -0.0126  -0.0144  -0.0164  -0.0185  -0.0206  -0.0229  -0.0251  -0.0273  -0.0295  -0.0315  -0.0334  -0.0350  -0.0365  -0.0376  -0.0385  -0.0390  -0.0392  -0.0390  -0.0385  -0.0376  -0.0365  -0.0350  -0.0334  -0.0315  -0.0295  -0.0273  -0.0251  -0.0229  -0.0206  -0.0185  -0.0164  -0.0144  -0.0126  -0.0108  -0.0093  -0.0079  -0.0066  -0.0055  -0.0046  -0.0037  -0.0030  -0.0024  -0.0019
