ZONE T="V1(t,x).dat"
I= 48,J= 59,K=1,F=POINT
  1.00000  70.85106 -64.5703   6.6832   6.6733  69.7216 -57.8380  14.0336 -66.8112   0.5657 -60.3733   1.7301
  1.00000  74.68085 -64.5706   6.6821   6.6720  69.1168 -57.8388  14.0293 -66.8112   0.5657 -60.3733   1.7301
  1.00000  78.51064 -64.5708   6.6813   6.6710  68.6348 -57.8394  14.0259 -66.8112   0.5657 -60.3733   1.7301
  1.00000  82.34043 -64.5709   6.6807   6.6702  68.2842 -57.8398  14.0234 -66.8112   0.5657 -60.3733   1.7301
  1.00000  86.17021 -64.5710   6.6803   6.6698  68.0714 -57.8401  14.0218 -66.8112   0.5657 -60.3733   1.7301
  1.00000  90.00000 -64.5710   6.6802   6.6697  68.0000 -57.8401  14.0213 -66.8112   0.5657 -60.3733   1.7301
  2.00000 -90.00000 -64.5850   6.6459   6.6031  68.0000 -57.8744  13.8465 -66.8138   0.5640 -60.3788   1.7262
  2.00000 -86.17021 -64.5849   6.6464   6.6037  68.0714 -57.8740  13.8484 -66.8138   0.5640 -60.3788   1.7262
  2.00000 -82.34043 -64.5844   6.6478   6.6057  68.2842 -57.8729  13.8542 -66.8138   0.5640 -60.3788   1.7262
  2.00000 -78.51064 -64.5837   6.6502   6.6088  68.6348 -57.8710  13.8638 -66.8138   0.5640 -60.3788   1.7262
  2.00000 -74.68085 -64.5826   6.6535   6.6133  69.1168 -57.8685  13.8769 -66.8138   0.5640 -60.3788   1.7262
  2.00000 -70.85106 -64.5813   6.6576   6.6188  69.7216 -57.8653  13.8934 -66.8138   0.5640 -60.3788   1.7262
  2.00000 -67.02128 -64.5798   6.6624   6.6255  70.4385 -57.8615  13.9132 -66.8138   0.5640 -60.3788   1.7262
  2.00000 -63.19149 -64.5781   6.6680   6.6332  71.2546 -57.8572  13.9358 -66.8138   0.5640 -60.3788   1.7262
  2.00000 -59.36170 -64.5761   6.6741   6.6419  72.1553 -57.8525  13.9610 -66.8138   0.5640 -60.3788   1.7262
  2.00000 -55.53191 -64.5741   6.6807   6.6516  73.1247 -57.8474  13.9883 -66.8138   0.5640 -60.3788   1.7262
  2.00000 -51.70213 -64.5719   6.6876   6.6623  74.1454 -57.8420  14.0175 -66.8138   0.5640 -60.3788   1.7262
  2.00000 -47.87234 -64.5697   6.6948   6.6742  75.1992 -57.8365  14.0482 -66.8138   0.5640 -60.3788   1.7262
  2.00000 -44.04255 -64.5674   6.7021   6.6878  76.2673 -57.8309  14.0807 -66.8138   0.5640 -60.3788   1.7262
  2.00000 -40.21277 -64.5651   6.7093   6.7058  77.3306 -57.8254  14.1330 -66.8137   0.5640 -60.3788   1.7263
  2.00000 -36.38298 -64.5629   6.7164   6.7234  78.3702 -57.8202  14.1871 -66.8137   0.5640 -60.3788   1.7263
  2.00000 -32.55319 -64.5608   6.7231   6.7404  79.3675 -57.8151  14.2390 -66.8137   0.5640 -60.3788   1.7263
