ZONE T="xy200e.dat"
I= 39,J= 39,K=1,F=POINT
  0.05000   0.55000    48.12 -68.61797     0.00 -62.35253     8.39 116.00000     0.0000 
  0.05000   0.57500    52.78 -68.40289     0.00 -62.12607     9.73 116.00000     0.0000 
  0.05000   0.60000    58.40 -68.15823     0.00 -61.87703    11.39 116.00000     0.0001 
  0.05000   0.62500    65.12 -67.87957     0.00 -61.59883    13.49 116.00000     0.0002 
  0.05000   0.65000    73.07 -67.56486     0.94 -61.28734    16.13 116.00000     0.9626 
  0.05000   0.67500    82.29 -67.21701     1.38 -60.94315    19.40 116.00000     1.4143 
  0.05000   0.70000    92.72 -66.84428     2.10 -60.57330    23.31 116.00000     2.1294 
  0.05000   0.72500   104.09 -66.46086     3.02 -60.19187    27.74 116.00000     3.0605 
  0.05000   0.75000   116.00 -66.08519     4.24 -59.81814    32.44 116.00000     4.2873 
  0.05000   0.77500   127.91 -65.73640     5.63 -59.47236    37.12 116.00000     5.6869 
  0.05000   0.80000   139.28 -65.43004     7.10 -59.17066    41.45 116.00000     7.1722 
  0.05000   0.82500   149.71 -65.17515     8.47 -58.92165    45.25 116.00000     8.5122 
  0.05000   0.85000   158.93 -64.97372     9.72 -58.72592    48.41 116.00000     9.7573 
  0.05000   0.87500   166.88 -64.82191    10.76 -58.57785    50.96 116.00000    10.7991 
  0.05000   0.90000   173.60 -64.71251    11.58 -58.46845    52.98 116.00000    11.6185 
  0.05000   0.92500   179.22 -64.63720    12.22 -58.38778    54.56 116.00000    12.2453 
  0.05000   0.95000   183.88 -64.58797    12.69 -58.32643    55.81 116.00000    12.7067 
  0.05000   0.97500   187.75 -64.55787    13.02 -58.27628    56.84 116.00000    13.0531 
  0.07500   0.02500   191.78 -64.42007    13.89 -58.12199    58.73 116.00000    13.9182 
  0.07500   0.05000   188.25 -64.43806    13.62 -58.15668    57.89 116.00000    13.6503 
  0.07500   0.07500   183.88 -64.47548    13.20 -58.20334    56.81 116.00000    13.2334 
  0.07500   0.10000   178.48 -64.54091    12.59 -58.27202    55.37 116.00000    12.6097 
  0.07500   0.12500   171.80 -64.64502    11.74 -58.37519    53.43 116.00000    11.7778 
  0.07500   0.15000   163.63 -64.79983    10.64 -58.52718    50.81 116.00000    10.6655 
  0.07500   0.17500   153.82 -65.01700     9.25 -58.74231    47.40 116.00000     9.2934 
  0.07500   0.20000   142.37 -65.30434     7.67 -59.03097    43.10 116.00000     7.7177 
  0.07500   0.22500   129.58 -65.66119     5.92 -59.39422    38.01 116.00000     5.9755 
  0.07500   0.25000   116.00 -66.07511     4.26 -59.81937    32.43 116.00000     4.3100 
  0.07500   0.27500   102.42 -66.52232     2.86 -60.28016    26.83 116.00000     2.8992 
  0.07500   0.30000    89.63 -66.97323     1.87 -60.74349    21.71 116.00000     1.8933 
  0.07500   0.32500    78.18 -67.40094     1.12 -61.17946    17.39 116.00000     1.1542 
  0.07500   0.35000    68.37 -67.78694     0.00 -61.56887    13.99 116.00000     0.0004 
  0.07500   0.37500    60.20 -68.12262     0.00 -61.90486    11.42 116.00000     0.0002 
  0.07500   0.40000    53.52 -68.40844     0.00 -62.19050     9.50 116.00000     0.0001 
  0.07500   0.42500    48.12 -68.64995     0.00 -62.43451     8.06 116.00000     0.0000 
  0.07500   0.45000    43.75 -68.85484     0.00 -62.64769     6.95 116.00000     0.0000 
  0.07500   0.47500    40.22 -69.03087     0.00 -62.84068     6.07 116.00000     0.0000 
  0.07500   0.50000    37.35 -69.18470     0.00 -63.02264     5.34 116.00000     0.0000 
  0.07500   0.52500    40.22 -69.03087     0.00 -62.84068     6.07 116.00000     0.0000 
  0.07500   0.55000    43.75 -68.85484     0.00 -62.64769     6.95 116.00000     0.0000 
  0.07500   0.57500    48.12 -68.64995     0.00 -62.43451     8.06 116.00000     0.0000 
  0.07500   0.60000    53.52 -68.40844     0.00 -62.19050     9.50 116.00000     0.0001 
  0.07500   0.62500    60.20 -68.12262     0.00 -61.90486    11.42 116.00000     0.0002 
  0.07500   0.65000    68.37 -67.78694     0.00 -61.56887    13.99 116.00000     0.0004 
  0.07500   0.67500    78.18 -67.40094     1.12 -61.17946    17.39 116.00000     1.1542 
  0.07500   0.70000    89.63 -66.97323     1.87 -60.74349    21.71 116.00000     1.8933 
  0.07500   0.72500   102.42 -66.52232     2.86 -60.28016    26.83 116.00000     2.8992 
  0.07500   0.75000   116.00 -66.07511     4.26 -59.81937    32.43 116.00000     4.3100 
  0.07500   0.77500   129.58 -65.66119     5.92 -59.39422    38.01 116.00000     5.9755 
  0.07500   0.80000   142.37 -65.30434     7.67 -59.03097    43.10 116.00000     7.7177 
  0.07500   0.82500   153.82 -65.01700     9.25 -58.74231    47.40 116.00000     9.2934 
  0.07500   0.85000   163.63 -64.79983    10.64 -58.52718    50.81 116.00000    10.6655 
  0.07500   0.87500   171.80 -64.64502    11.74 -58.37519    53.43 116.00000    11.7778 
  0.07500   0.90000   178.48 -64.54091    12.59 -58.27202    55.37 116.00000    12.6097 
  0.07500   0.92500   183.88 -64.47548    13.20 -58.20334    56.81 116.00000    13.2334 
  0.07500   0.95000   188.25 -64.43806    13.62 -58.15668    57.89 116.00000    13.6503 
  0.07500   0.97500   191.78 -64.42007    13.89 -58.12199    58.73 116.00000    13.9182 
  0.10000   0.02500   195.88 -64.27615    14.84 -57.97023    60.60 116.00000    14.8628 
  0.10000   0.05000   192.80 -64.27849    14.66 -57.98513    60.00 116.00000    14.6808 
  0.10000   0.07500   188.89 -64.29911    14.32 -58.01119    59.17 116.00000    14.3445 
  0.10000   0.10000   183.88 -64.34823    13.77 -58.06018    57.96 116.00000    13.8000 
  0.10000   0.12500   177.46 -64.43955    12.95 -58.14801    56.19 116.00000    12.9671 
  0.10000   0.15000   169.25 -64.59016    11.79 -58.29490    53.63 116.00000    11.8276 
  0.10000   0.17500   158.93 -64.81878    10.26 -58.52361    50.03 116.00000    10.3001 
  0.10000   0.20000   146.36 -65.14086     8.37 -58.85387    45.21 116.00000     8.4171 
  0.10000   0.22500   131.78 -65.56010     6.32 -59.29215    39.20 116.00000     6.3831 
  0.10000   0.25000   116.00 -66.05960     4.30 -59.82078    32.43 116.00000     4.3495 
  0.10000   0.27500   100.22 -66.60141     2.67 -60.39621    25.66 116.00000     2.7064 
  0.10000   0.30000    85.64 -67.13784     1.61 -60.96284    19.71 116.00000     1.6261 
  0.10000   0.32500    73.07 -67.62879     0.90 -61.47443    15.04 116.00000     0.9227 
  0.10000   0.35000    62.75 -68.05174     0.00 -61.90703    11.65 116.00000     0.0003 
  0.10000   0.37500    54.54 -68.40178     0.00 -62.25826     9.29 116.00000     0.0002 
  0.10000   0.40000    48.12 -68.68560     0.00 -62.53919     7.65 116.00000     0.0001 
  0.10000   0.42500    43.11 -68.91476     0.00 -62.76616     6.50 116.00000     0.0000 
  0.10000   0.45000    39.20 -69.10146     0.00 -62.95575     5.65 116.00000     0.0000 
  0.10000   0.47500    36.12 -69.25650     0.00 -63.12235     4.99 116.00000     0.0000 
  0.10000   0.50000    33.68 -69.38843     0.00 -63.27739     4.44 116.00000     0.0000 
  0.10000   0.52500    36.12 -69.25650     0.00 -63.12235     4.99 116.00000     0.0000 
  0.10000   0.55000    39.20 -69.10146     0.00 -62.95575     5.65 116.00000     0.0000 
