ZONE T="xy 90e.dat"
I= 39,J= 39,K=1,F=POINT
  0.05000   0.55000   183.88 -64.62526    11.41 -58.31519    54.71 116.00000    11.4525 
  0.05000   0.57500   188.25 -64.47157    12.46 -58.15199    56.67 116.00000    12.4991 
  0.05000   0.60000   192.80 -64.30937    13.66 -57.98650    58.64 116.00000    13.7029 
  0.05000   0.62500   197.41 -64.14515    14.94 -57.82281    60.58 116.00000    14.9829 
  0.05000   0.65000   201.87 -63.98772    16.23 -57.66759    62.41 116.00000    16.2804 
  0.05000   0.67500   205.89 -63.84808    17.44 -57.53016    64.01 116.00000    17.4853 
  0.05000   0.70000   209.13 -63.73859    18.45 -57.42184    65.26 116.00000    18.4963 
  0.05000   0.72500   211.26 -63.67095    18.06 -57.35398    66.05 116.00000    18.0686 
  0.05000   0.75000   212.00 -63.65333    17.69 -57.33515    66.29 116.00000    17.7028 
  0.05000   0.77500   211.26 -63.68822    17.96 -57.36845    65.96 116.00000    17.9706 
  0.05000   0.80000   209.13 -63.77237    18.22 -57.45058    65.07 116.00000    18.2755 
  0.05000   0.82500   205.89 -63.89699    17.13 -57.57284    63.73 116.00000    17.1751 
  0.05000   0.85000   201.87 -64.04984    15.85 -57.72379    62.03 116.00000    15.9007 
  0.05000   0.87500   197.41 -64.21818    14.51 -57.89212    60.11 116.00000    14.5570 
  0.05000   0.90000   192.80 -64.39072    13.21 -58.06855    58.07 116.00000    13.2544 
  0.05000   0.92500   188.25 -64.55848    12.01 -58.24649    56.00 116.00000    12.0505 
  0.05000   0.95000   183.88 -64.71488    10.98 -58.42191    53.96 116.00000    11.0206 
  0.05000   0.97500   179.78 -64.85543    10.12 -58.59266    51.97 116.00000    10.1576 
  0.07500   0.02500   174.94 -64.90809     9.66 -58.66202    50.70 116.00000     9.7044 
  0.07500   0.05000   179.22 -64.75986    10.54 -58.48163    52.80 116.00000    10.5796 
  0.07500   0.07500   183.88 -64.59154    11.61 -58.29146    55.02 116.00000    11.6494 
  0.07500   0.10000   188.89 -64.40690    12.89 -58.09280    57.33 116.00000    12.9323 
  0.07500   0.12500   194.12 -64.21222    14.32 -57.88939    59.67 116.00000    14.3690 
  0.07500   0.15000   199.35 -64.01716    15.85 -57.68868    61.95 116.00000    15.9021 
  0.07500   0.17500   204.24 -63.83531    17.36 -57.50275    64.02 116.00000    17.4052 
  0.07500   0.20000   208.31 -63.68366    18.69 -57.34799    65.71 116.00000    18.7351 
  0.07500   0.22500   211.04 -63.58001    18.38 -57.24242    66.83 116.00000    18.3888 
  0.07500   0.25000   212.00 -63.53810    18.23 -57.20066    67.26 116.00000    18.2371 
  0.07500   0.27500   211.04 -63.56322    18.59 -57.22842    66.92 116.00000    18.5978 
  0.07500   0.30000   208.31 -63.65090    18.90 -57.32021    65.89 116.00000    18.9478 
