ZONE T="xy 10e.dat"
I= 32,J= 64,K=1,F=POINT
  0.10000   0.65000     0.00 -64.89883     0.26 0 0 0 0 0 0   0.00000   -64.8988   0.00266 0  -0.00370 
  0.10000   0.70000     0.00 -64.89818     0.26 0 0 0 0 0 0   0.00000   -64.8982   0.00267 0  -0.00372 
  0.10000   0.75000     0.00 -64.89779     0.26 0 0 0 0 0 0   0.00000   -64.8978   0.00267 0  -0.00373 
  0.10000   0.80000     0.00 -64.89766     0.26 0 0 0 0 0 0   0.00000   -64.8977   0.00267 0  -0.00373 
  0.10000   0.85000     0.00 -64.89779     0.26 0 0 0 0 0 0   0.00000   -64.8978   0.00267 0  -0.00373 
  0.10000   0.90000     0.00 -64.89818     0.26 0 0 0 0 0 0   0.00000   -64.8982   0.00267 0  -0.00372 
  0.10000   0.95000     0.00 -64.89883     0.26 0 0 0 0 0 0   0.00000   -64.8988   0.00266 0  -0.00370 
  0.10000   1.00000     0.00 -64.89974     0.26 0 0 0 0 0 0   0.00000   -64.8997   0.00266 0  -0.00368 
  0.10000   1.05000     0.00 -64.90090     0.26 0 0 0 0 0 0   0.00000   -64.9009   0.00266 0  -0.00365 
  0.10000   1.10000     0.00 -64.90232     0.26 0 0 0 0 0 0   0.00000   -64.9023   0.00265 0  -0.00362 
  0.10000   1.15000     0.00 -64.90399     0.26 0 0 0 0 0 0   0.00000   -64.9040   0.00265 0  -0.00358 
  0.10000   1.20000     0.00 -64.90591     0.25 0 0 0 0 0 0   0.00000   -64.9059   0.00264 0  -0.00353 
  0.10000   1.25000     0.00 -64.90806     0.25 0 0 0 0 0 0   0.00000   -64.9081   0.00263 0  -0.00348 
  0.10000   1.30000     0.00 -64.91046     0.25 0 0 0 0 0 0   0.00000   -64.9105   0.00262 0  -0.00342 
  0.10000   1.35000     0.00 -64.91308     0.25 0 0 0 0 0 0   0.00000   -64.9131   0.00261 0  -0.00336 
  0.10000   1.40000     0.00 -64.91592     0.25 0 0 0 0 0 0   0.00000   -64.9159   0.00261 0  -0.00329 
  0.10000   1.45000     0.00 -64.91897     0.25 0 0 0 0 0 0   0.00000   -64.9190   0.00260 0  -0.00322 
  0.10000   1.50000     0.00 -64.92215     0.25 0 0 0 0 0 0   0.00000   -64.9221   0.00258 0  -0.00315 
  0.10000   1.55000     0.00 -64.92524     0.25 0 0 0 0 0 0   0.00000   -64.9252   0.00257 0  -0.00307 
  0.10000   1.60000     0.00 -64.92788     0.25 0 0 0 0 0 0   0.00000   -64.9279   0.00257 0  -0.00301 
  0.15000   0.05000     0.00 -64.90882     0.25 0 0 0 0 0 0   0.00000   -64.9088   0.00263 0  -0.00346 
  0.15000   0.10000     0.00 -64.90620     0.25 0 0 0 0 0 0   0.00000   -64.9062   0.00264 0  -0.00353 
  0.15000   0.15000     0.00 -64.90314     0.26 0 0 0 0 0 0   0.00000   -64.9031   0.00265 0  -0.00360 
  0.15000   0.20000     0.00 -64.90000     0.26 0 0 0 0 0 0   0.00000   -64.9000   0.00266 0  -0.00367 
  0.15000   0.25000     0.00 -64.89702     0.26 0 0 0 0 0 0   0.00000   -64.8970   0.00267 0  -0.00374 
  0.15000   0.30000     0.00 -64.89426     0.26 0 0 0 0 0 0   0.00000   -64.8943   0.00268 0  -0.00381 
  0.15000   0.35000     0.00 -64.89174     0.26 0 0 0 0 0 0   0.00000   -64.8917   0.00269 0  -0.00387 
  0.15000   0.40000     0.00 -64.88947     0.26 0 0 0 0 0 0   0.00000   -64.8895   0.00269 0  -0.00393 
  0.15000   0.45000     0.00 -64.88745     0.26 0 0 0 0 0 0   0.00000   -64.8874   0.00270 0  -0.00398 
  0.15000   0.50000     0.00 -64.88568     0.26 0 0 0 0 0 0   0.00000   -64.8857   0.00271 0  -0.00402 
  0.15000   0.55000     0.00 -64.88418     0.26 0 0 0 0 0 0   0.00000   -64.8842   0.00271 0  -0.00406 
  0.15000   0.60000     0.00 -64.88295     0.26 0 0 0 0 0 0   0.00000   -64.8829   0.00272 0  -0.00409 
  0.15000   0.65000     0.00 -64.88199     0.26 0 0 0 0 0 0   0.00000   -64.8820   0.00272 0  -0.00411 
  0.15000   0.70000     0.00 -64.88130     0.26 0 0 0 0 0 0   0.00000   -64.8813   0.00272 0  -0.00413 
  0.15000   0.75000     0.00 -64.88088     0.26 0 0 0 0 0 0   0.00000   -64.8809   0.00272 0  -0.00414 
  0.15000   0.80000     0.00 -64.88074     0.26 0 0 0 0 0 0   0.00000   -64.8807   0.00272 0  -0.00414 
  0.15000   0.85000     0.00 -64.88088     0.26 0 0 0 0 0 0   0.00000   -64.8809   0.00272 0  -0.00414 
  0.15000   0.90000     0.00 -64.88130     0.26 0 0 0 0 0 0   0.00000   -64.8813   0.00272 0  -0.00413 
  0.15000   0.95000     0.00 -64.88199     0.26 0 0 0 0 0 0   0.00000   -64.8820   0.00272 0  -0.00411 
  0.15000   1.00000     0.00 -64.88295     0.26 0 0 0 0 0 0   0.00000   -64.8829   0.00272 0  -0.00409 
  0.15000   1.05000     0.00 -64.88418     0.26 0 0 0 0 0 0   0.00000   -64.8842   0.00271 0  -0.00406 
  0.15000   1.10000     0.00 -64.88568     0.26 0 0 0 0 0 0   0.00000   -64.8857   0.00271 0  -0.00402 
  0.15000   1.15000     0.00 -64.88745     0.26 0 0 0 0 0 0   0.00000   -64.8874   0.00270 0  -0.00398 
  0.15000   1.20000     0.00 -64.88947     0.26 0 0 0 0 0 0   0.00000   -64.8895   0.00269 0  -0.00393 
  0.15000   1.25000     0.00 -64.89174     0.26 0 0 0 0 0 0   0.00000   -64.8917   0.00269 0  -0.00387 
  0.15000   1.30000     0.00 -64.89426     0.26 0 0 0 0 0 0   0.00000   -64.8943   0.00268 0  -0.00381 
  0.15000   1.35000     0.00 -64.89702     0.26 0 0 0 0 0 0   0.00000   -64.8970   0.00267 0  -0.00374 
